number,region,X,Y,Country,Taxa
1,X1051,4912209.069,4491531.161,Finland,Butterflies
2,X1121,5033672.255,4244934.795,Finland,Butterflies
3,X1122,5056409.951,4402274.12,Finland,Butterflies
4,X1145,5043928.659,4177959.936,Finland,Butterflies
5,X1146,5069965.947,4333765.055,Finland,Butterflies
6,X1169,5123122.73,4230737.269,Finland,Butterflies
7,X1194,5177684.404,4330358.26,Finland,Butterflies
8,X1217,5219058.031,4268308.241,Finland,Butterflies
9,X1243,5274216.656,4513921.729,Finland,Butterflies
10,X1266,5324832.582,4393430.803,Finland,Butterflies
11,X1291,5343478.503,4495714.481,Finland,Butterflies
1,132,2995552.495,3330363.446,Ireland,Butterflies
2,156,3008960.046,3363138.93,Ireland,Butterflies
3,157,3039959.06,3533903.92,Ireland,Butterflies
4,180,3066729.758,3341501.285,Ireland,Butterflies
5,181,3066067.075,3494883.981,Ireland,Butterflies
6,182,3066760.621,3599896.749,Ireland,Butterflies
7,204,3139459.614,3389578.579,Ireland,Butterflies
8,205,3130468.693,3559968.548,Ireland,Butterflies
9,229,3190234.811,3472064.108,Ireland,Butterflies
10,230,3158356.502,3650972.93,Ireland,Butterflies
11,252,3202183.866,3377983.889,Ireland,Butterflies
12,253,3205277.258,3534496.342,Ireland,Butterflies
13,254,3195412.892,3701480.143,Ireland,Butterflies
14,277,3244127.946,3468369.103,Ireland,Butterflies
1,640,4049433.787,4041769.652,Norway,Butterflies
2,664,4076689.427,3986968.692,Norway,Butterflies
3,687,4149700.938,3914013.422,Norway,Butterflies
4,688,4120540.692,4048137.821,Norway,Butterflies
5,712,4144339.562,3974454.213,Norway,Butterflies
6,735,4186667.593,3898822.622,Norway,Butterflies
7,763,4316292.851,4526549.889,Norway,Butterflies
8,784,4337034.247,4049877.059,Norway,Butterflies
9,786,4335294.373,4432288.898,Norway,Butterflies
10,808,4356559.786,4008707.08,Norway,Butterflies
11,811,4363381.384,4495324.671,Norway,Butterflies
12,832,4397685.979,4049139.769,Norway,Butterflies
13,835,4407664.162,4562657.502,Norway,Butterflies
14,860,4472324.656,4649782.91,Norway,Butterflies
1,666,4083849.783,4316554.232,Norway,Songbirds
2,714,4156520.148,4318407.462,Norway,Songbirds
3,738,4213885.937,4411125.536,Norway,Songbirds
4,762,4278137,4326416.25,Norway,Songbirds
5,763,4286924.646,4487274.982,Norway,Songbirds
6,785,4318542.037,4246536.317,Norway,Songbirds
7,786,4320496.642,4422623.666,Norway,Songbirds
8,787,4334799.948,4553274.874,Norway,Songbirds
9,808,4376943.04,4004489.303,Norway,Songbirds
10,809,4376831.408,4166550.828,Norway,Songbirds
11,810,4379743.089,4333191.652,Norway,Songbirds
12,811,4371964.508,4501790.125,Norway,Songbirds
13,832,4404540.75,4072261.157,Norway,Songbirds
14,833,4414422.062,4239151.392,Norway,Songbirds
15,834,4397484.051,4415884.404,Norway,Songbirds
16,835,4418765.04,4599172.803,Norway,Songbirds
17,859,4448115.276,4548082.06,Norway,Songbirds
18,883,4498432.167,4595827.131,Norway,Songbirds
1,640,4049433.787,4041769.652,Sweden,Butterflies
2,664,4076689.427,3986968.692,Sweden,Butterflies
3,687,4149700.938,3914013.422,Sweden,Butterflies
4,688,4120540.692,4048137.821,Sweden,Butterflies
5,712,4144339.562,3974454.213,Sweden,Butterflies
6,735,4186667.593,3898822.622,Sweden,Butterflies
7,763,4316292.851,4526549.889,Sweden,Butterflies
8,784,4337034.247,4049877.059,Sweden,Butterflies
9,786,4335294.373,4432288.898,Sweden,Butterflies
10,808,4356559.786,4008707.08,Sweden,Butterflies
11,811,4363381.384,4495324.671,Sweden,Butterflies
12,832,4397685.979,4049139.769,Sweden,Butterflies
13,835,4407664.162,4562657.502,Sweden,Butterflies
14,860,4472324.656,4649782.91,Sweden,Butterflies
1,1000,4755078.206,4004163.148,Sweden,Songbirds
2,1001,4762670.63,4139757.883,Sweden,Songbirds
3,1003,4761643.316,4510044.4,Sweden,Songbirds
4,1004,4770868.562,4674153.532,Sweden,Songbirds
5,1005,4770701.928,4853135.914,Sweden,Songbirds
6,1006,4767286.97,5018304.922,Sweden,Songbirds
7,1023,4838478.458,3876807.068,Sweden,Songbirds
8,1024,4804218.504,4076743.193,Sweden,Songbirds
9,1027,4820079.558,4583576.456,Sweden,Songbirds
10,1028,4821350.477,4767415.592,Sweden,Songbirds
11,1029,4821299.492,4937369.983,Sweden,Songbirds
12,1047,4832707.72,3829850.003,Sweden,Songbirds
13,1052,4846117.666,4664785.374,Sweden,Songbirds
14,1053,4870122.689,4848575.349,Sweden,Songbirds
15,1054,4855555.736,5018996.388,Sweden,Songbirds
16,1077,4902322.953,4931457.402,Sweden,Songbirds
17,808,4399027.421,3963417.561,Sweden,Songbirds
18,831,4427154.229,3906627.714,Sweden,Songbirds
19,832,4447048.495,4068398.625,Sweden,Songbirds
20,834,4442744.292,4422393.256,Sweden,Songbirds
21,854,4495687.843,3658957.74,Sweden,Songbirds
22,855,4480026.75,3815736.198,Sweden,Songbirds
23,856,4461201.934,3985116.796,Sweden,Songbirds
24,857,4486093.466,4159418.278,Sweden,Songbirds
25,858,4476576.738,4331829.527,Sweden,Songbirds
26,859,4475865.525,4485376.496,Sweden,Songbirds
27,878,4519276.911,3721274.571,Sweden,Songbirds
28,879,4518505.62,3899244.374,Sweden,Songbirds
29,880,4527296.35,4063582.948,Sweden,Songbirds
30,881,4515717.471,4243191.948,Sweden,Songbirds
31,882,4522680.934,4423801.163,Sweden,Songbirds
32,883,4539672.76,4592735.862,Sweden,Songbirds
33,902,4553101.761,3644759.203,Sweden,Songbirds
34,903,4569976.668,3809065.209,Sweden,Songbirds
35,904,4579828.03,3981195.433,Sweden,Songbirds
36,905,4568466.934,4160963.91,Sweden,Songbirds
37,906,4571032.986,4331579.577,Sweden,Songbirds
38,907,4564165.525,4501951.54,Sweden,Songbirds
39,908,4574882.343,4671870.689,Sweden,Songbirds
40,926,4631175.65,3722781.872,Sweden,Songbirds
41,927,4616364.746,3898811.589,Sweden,Songbirds
42,928,4623126.906,4067105.288,Sweden,Songbirds
43,929,4610846.476,4238776.146,Sweden,Songbirds
44,930,4620969.2,4409596.253,Sweden,Songbirds
45,931,4625821.302,4588468.228,Sweden,Songbirds
46,932,4609960.029,4764592.015,Sweden,Songbirds
47,951,4668912.512,3816363.411,Sweden,Songbirds
48,952,4668429.007,3985647.832,Sweden,Songbirds
49,953,4669123.846,4156216.08,Sweden,Songbirds
50,954,4673371.991,4329435.056,Sweden,Songbirds
51,955,4662591.39,4502676.104,Sweden,Songbirds
52,956,4671177.134,4676126.24,Sweden,Songbirds
53,957,4673415.172,4846952.172,Sweden,Songbirds
54,974,4704901.119,3728165.815,Sweden,Songbirds
55,975,4700360.541,3902442.924,Sweden,Songbirds
56,976,4721741.043,4071322.179,Sweden,Songbirds
57,977,4686082.607,4247286.52,Sweden,Songbirds
58,978,4701946.353,4426023.101,Sweden,Songbirds
59,979,4723983.751,4588816.802,Sweden,Songbirds
60,980,4714522.036,4759081.764,Sweden,Songbirds
61,981,4726245.378,4934172.926,Sweden,Songbirds
62,999,4736608.141,3778965.966,Sweden,Songbirds
1,275,3269668.72,3132478.349,UK,Butterflies
2,276,3286722.356,3290321.51,UK,Butterflies
3,278,3281130.547,3621390.216,UK,Butterflies
4,299,3332216.729,3174475.517,UK,Butterflies
5,301,3311510.882,3570891.773,UK,Butterflies
6,302,3326797.809,3744597.807,UK,Butterflies
7,303,3337798.708,3869329.182,UK,Butterflies
8,323,3358985.263,3140116.846,UK,Butterflies
9,324,3370853.181,3277982.632,UK,Butterflies
10,325,3383059.203,3440526.96,UK,Butterflies
11,327,3378951.549,3829007.814,UK,Butterflies
12,347,3427586.778,3197574.228,UK,Butterflies
13,348,3417615.672,3373863.878,UK,Butterflies
14,350,3431548.021,3724951.825,UK,Butterflies
15,371,3473940.233,3146173.204,UK,Butterflies
16,372,3481559.535,3285040.256,UK,Butterflies
17,373,3472953.954,3445955.332,UK,Butterflies
18,374,3447944.595,3627669.427,UK,Butterflies
19,375,3473813,3828833.6,UK,Butterflies
20,376,3472484.259,3960917.725,UK,Butterflies
21,395,3520003.744,3189760.459,UK,Butterflies
22,396,3540153.956,3379595.052,UK,Butterflies
23,397,3498835.433,3533308.972,UK,Butterflies
24,398,3515968.313,3728859.373,UK,Butterflies
25,399,3516502.302,3878630.679,UK,Butterflies
26,419,3560030.398,3144466,UK,Butterflies
27,420,3556346.03,3283019.879,UK,Butterflies
28,421,3573663.53,3457660.409,UK,Butterflies
29,422,3576896.145,3632766.701,UK,Butterflies
30,423,3549128.075,3795771.261,UK,Butterflies
31,424,3548848.793,4017633.351,UK,Butterflies
32,443,3611480.283,3204753.252,UK,Butterflies
33,444,3608998.078,3370902.469,UK,Butterflies
34,445,3596224.681,3553430.452,UK,Butterflies
35,447,3602659.157,3863274.832,UK,Butterflies
36,467,3657758.392,3142813.292,UK,Butterflies
37,468,3651943.194,3287501.886,UK,Butterflies
38,469,3657568.035,3433943.564,UK,Butterflies
39,491,3700260.956,3189028.805,UK,Butterflies
40,492,3698180.136,3354793.792,UK,Butterflies
41,516,3745925.825,3295407.628,UK,Butterflies
